iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
42,10.057642221450806,-5.321150464596928,1.494793744220406,-2.5473974682999696,-8.461245641173647,542.45,420.97683724879687,2640,30,0.0,1.0,0.07575869560241699,1.810307502746582,0.009942043,0.0076269945,-0.018232714,-4.336741018276769,0.0,542.45,40000,9.76524829864502,0.012325259641658814,0.006973584191698176,-4.510571016865767,0.0,32.0
43,10.205573558807373,-5.0867356243270265,1.8903631117478563,8.844753357107795,-7.863955745332642,348.95,267.5264426182952,1730,0,0.0,1.0,0.07619738578796387,1.8309547901153564,0.009380448,-0.022996627,0.00087137136,-4.4117404788817955,0.0,348.95,40000,8.691353559494019,0.09474462655826708,0.07952790109465095,-4.635116145038669,0.0,76.0
44,10.09917163848877,-5.010383672011371,1.4534261145677092,0.6128471537521678,-7.967868504544216,436.45,313.7114876761768,1740,0,0.0,1.0,0.08102726936340332,1.7542510032653809,0.009874397,-0.025411617,0.0070450227,-4.471604798194753,0.0,436.45,40000,8.888034582138062,0.019896511416526725,0.012299755596567517,-4.977708695361034,0.0,96.0
45,10.313969850540161,-5.237229276425435,1.8603991917021487,5.381355009525406,-8.708204322434897,545.2,375.6753385571111,2010,0,0.0,1.0,0.07785987854003906,1.8104634284973145,0.0097444,0.005608913,-0.01746235,-4.5481672460178215,0.0,545.2,40000,9.072949171066284,0.035896717231386786,0.035543808432677904,-4.836087735518783,0.0,26.0
46,10.106026411056519,-5.225977808893507,1.7463070753184171,2.7946624940409857,-8.335085443346685,385.75,274.3673404397834,2010,0,0.0,1.0,0.0815267562866211,1.7926161289215088,0.009860069,-0.020337937,0.0042903884,-4.61594830230539,0.0,385.75,40000,8.383033752441406,0.028206018140032565,0.023031067145574957,-5.11331156711615,0.0,109.2
47,10.356991052627563,-5.44535179966676,1.5763676409482608,-2.250260935025883,-8.44043398529104,533.65,335.5341674107124,1800,0,0.0,0.8,0.07955098152160645,1.8300094604492188,0.0064445045,0.007334903,-0.014855631,-4.698888652041527,0.0,533.65,40000,8.548582315444946,0.014568576478533258,0.006454973090576546,-4.9647743033842735,0.0,36.8
48,10.094492197036743,-5.449244315771516,1.6270702310421912,-2.1415240314776067,-8.618811361540113,416.0,323.70356809896305,1760,0,0.0,1.0,0.07696938514709473,1.7814652919769287,0.009865266,-0.02376935,0.0060147126,-4.773924218414526,0.0,416.0,40000,8.815989255905151,0.00754669734271981,0.007113177462993542,-5.228286796529662,0.0,80.4
49,10.053691387176514,-5.544688321094302,1.5969155831416186,-2.0806135409183724,-8.761855801008272,565.85,390.8468721890966,1830,0,0.0,0.8,0.07572245597839355,1.8296420574188232,0.0064312345,0.0072751604,-0.014010708,-4.851000628682503,0.0,565.85,40000,8.52611517906189,0.009772261975760255,0.005291678792322249,-5.054766755643451,0.0,28.0
50,10.058277130126953,-5.566120227191801,1.8089297511898679,-2.420169488754323,-8.834425059452304,410.75,292.19674450616316,1630,0,0.0,1.0,0.07852435111999512,1.8393311500549316,0.009981559,-0.023136163,0.007353289,-4.922512588533433,0.0,410.75,40000,8.240569829940796,0.007410917954240769,0.005449302820142509,-5.377974769528087,0.0,61.2
51,10.149588346481323,-5.66504635231271,1.7521205746273152,-2.319000842951702,-9.44432652361677,539.0,381.0288702972519,2380,0,0.0,0.8,0.07552528381347656,1.8044021129608154,0.0064564752,0.009487134,-0.014729465,-4.996765964911361,0.0,539.0,40000,8.500910997390747,0.006079793517306451,0.005539526965206913,-5.221667760492212,0.0,14.8
